RespondentID,Consent,Age,Gender,Education,Single,Dating1,Dating2,Married,Divorced,Widowed,Cohabiting,Engaged,Household,Ethnicity,EthnicityOther,Language,LanguageOther,EnglishFluency,Income,IncomeOther,Height,HeightMetres,Weight,WeightKilos,BMI,BIAAQ1,BIAAQ2,BIAAQ3,BIAAQ4,BIAAQ5,BIAAQ6,BIAAQ7,BIAAQ8,BIAAQ9,BIAAQ10,BIAAQ11,BIAAQ12
4187140110,1,57,1,4,,,,,1,,,,2,4,,1,,7,12,,5 feet 3 inches,1.6,110,49.9,19.49,1,1,1,1,1,1,1,1,1,1,1,1
4187142156,1,53,1,3,,,,,1,,,,4,3,,1,,7,3,,5'5,1.65,180,81.65,29.95,6,3,3,5,5,4,4,3,5,5,3,5
4187142488,1,55,1,2,,,,1,,,,,3,0,white,1,,7,1,,5'2'',1.57,190,86.18,34.75,3,3,1,2,7,4,1,7,4,4,1,3
4187142979,1,50,1,3,,,,1,,,,,2,4,,1,,7,7,,5 4,1.63,140,63.5,24.03,5,4,2,4,5,2,4,4,5,5,5,5
4187143434,1,46,1,4,,,,1,,,,,5,0,caucasian,1,,7,3,,5'2,1.57,260,117.93,47.55,4,3,2,5,1,4,7,5,4,1,2,1
4187143930,1,27,1,6,1,,,,,,,,1,4,,1,,7,4,,5 ft 6 in,1.68,154,69.85,24.86,1,6,1,1,1,1,1,1,1,1,1,1
4187144466,1,59,1,4,,,,,,1,,,6,1,,1,,7,3,,5 ft 6 inches,1.68,195,88.45,31.47,1,1,1,2,2,2,2,1,1,1,1,1
4187144604,1,37,1,2,1,,,,,,,,2,0,white,1,,7,1,,5,1.52,320,145.15,62.5,4,4,4,4,4,4,4,4,5,5,5,5
4187144814,1,40,1,3,,,,1,,,,,3,5,,0,filipino,7,7,,5'2,1.57,124,56.25,22.68,7,7,7,7,7,7,7,7,7,7,4,4
4187146608,1,32,1,6,,,,1,,,,,6,0,wehite,1,,6,8,,5.2,1.57,130,58.97,23.78,5,4,5,4,5,5,5,4,5,5,5,4
